X,Y,OBJECTID,GIS_LOC_ID,STATUS,ISSUE_AUTH,P_TYPE,P_CAT,P_CAT_CODE,PERMIT_ID,P_FEAT_ID,PRIMARY_PF,PF_TYPE,TOTAL_PF,MODNR_ID,FAC_NAME,FAC_ADD1,FAC_ADD2,FAC_CITY,FAC_ZIP,FAC_ZIP4,FAC_PHONE,FAC_COUNTY,REGION,HSE_DIST,SNT_DIST,UTMEASTING,UTMNORTHNG,DATECOLL,HCOLLTEXT,SOURCESCAL,HACCURACY,PDOP,EPE,HDATUMNAME,UTMZONE,SOURCECODE,REFPTTEXT,VERIFTEXT,GIS_APPR,SIC_CODE,SIC_DESC,NAICS_CODE,NAICS_DESC,PF_ACTIVE,PF_INITIAL,PF_ISSUE,PF_EXPIRE,CA_NAME,CA_ADD1,CA_ADD2,CA_CITY,CA_STATE,CA_ZIP,CA_ZIP4,CA_LEVEL,AFOCLASS,CAFO_REAS,BEEF,DAIRY,BROILERS,LAYERS,PULLETS,TURKEYS,SW_OVR_55,SW_UND_55,GOAT,HORSE,PF_TOTALAU,LAND_ACRES,RUNOFFAREA,EST_MAN_G,EST_MAN_T,EST_LIQ_G,EST_LIQ_T,STR_AGST,STR_AGSTDD,STR_AD,STR_ADDD,STR_BGST,STR_BGSTDD,STR_CP,STR_CPDD,STR_EP,STR_EPDD,STR_ISP,STR_ISPDD,STR_NONE,STR_NONEDD,STR_OP,STR_OPDD,STR_RSS,STR_RSSDD,STR_SL,STR_SLDD,STR_UP,STR_UPDD,STR_WWTL,STR_WWTLDD,NMP,NMP_DATE,G_TRT_TYPE,WASTE_CODE,WASTE_TYPE,EDU,FLOW_DSGN,FLOW_ACT,OWN_NAME,OWN_ADDR1,OWN_ADDR2,OWN_CITY,OWN_STATE,OWN_ZIP,OWN_PLUS4,OWN_CNTRY,QTR_3,QTR_2,QTR_1,SECTION_,TOWNSHIP,T_DIR,RANGE,R_DIR,LAND_GRANT,REC_STREAM,REC_STM_CL,DSG_303D,WBID,WB_NAME,WB_CLASS,DIS_RECSTM,NHD_ID,NO_DISG_CL,HUC_8,SUB_WATERS
-93.422290355972265,40.550282891627859,1,82008,Expired,Water Protection Program,SITE,Site-Specific CAFO (IA),sscafoIA,MO0118168,073,N,Storm Water Outfall,21,10525,"Murphy-Brown, Somerset Farm",11337 Buck Avenue, ,POWERSVILLE,64672, ,6603825238,Mercer,NER,0,0,464245,4488921,2015-11-24T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe, ,N,3090,Hogs,0, ,2010-11-29T00:00:00.000Z,1995-09-15T00:00:00.000Z,2010-11-29T00:00:00.000Z,2015-11-28T00:00:00.000Z,Murphy-Brown of Missouri LLC,17999 US Highway 65, ,PRINCETON,MO,64673, , ,Class IA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,Y,,Storm Water,SW,Storm Water, ,0,0,Murphy-Brown of Missouri LLC,17999 US Hwy 65, ,Princeton,MO,64673, ,USA, ,SE,NW,28,67,N,22,W, ,Tributary to West Fork Medicine Creek,UNCLASSIFIED,N,3960,8-20-13 MUDD V1.0,C,0, ,N,10280103,0201
-92.869569648572138,38.365332836024386,2,81570,Effective,Water Protection Program,GPCF,General CAFO IC,gencafoIC,MOGS10010,001,Y,Land Application Site,1,12556,Corpening Farms,21779 Hwy MM, ,VERSAILLES,65084, ,5733782247,Morgan,SWR,0,0,511395,4246358,2013-01-31T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,Y,3090,Hogs,0, ,2013-01-29T00:00:00.000Z,2013-02-01T00:00:00.000Z,2013-02-01T00:00:00.000Z,2018-01-27T00:00:00.000Z,Randall A. Corpening,21779 Hwy MM, ,Versailles,MO,65084, , ,Class IC, ,0,0,0,0,0,0,6400,0,0,0,2560,0,0,0,0,1563922,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,332,N,0,N,0,N,,Land Application,MNR,Manure, ,0.00428,0,Randall A. Corpening,21779 Hwy MM, ,Versailles,MO,65084, ,USA, ,NW,NW,36,42,N,18,W, ,Tributary to Clabber Creek,UNCLASSIFIED,N,3960,8-20-13 MUDD V1.0,C,0, ,N,10290109,0402
-92.817772674513307,38.597506883173814,3,80903,Effective,Water Protection Program,GPCF,General CAFO IB,gencafoIB,MOGS10507,001,Y,Land Application Site,1,32080,RICHLAND CREEK,32799 RICHLAND CREEK RD, ,TIPTON,65081, ,5732302283,Moniteau,NER,0,0,515869,4272128,2015-09-03T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,Y,3095,Chicken Eggs,0, ,2015-09-03T00:00:00.000Z,2015-09-15T00:00:00.000Z,2015-09-15T00:00:00.000Z,2018-01-27T00:00:00.000Z,WAYNE HENTGES,32799 RICHLAND CREEK RD, ,TIPTON,MO,65081, , ,Class IB, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,365,N,0,N,0,N,0,Y,,Land Application,MNR,Manure, ,0,0,WAYNE HENTGES,32799 RICHLAND CREEK RD, ,TIPTON,MO,65081, ,USA, ,SE,SW,5,44,N,17,W, ,Tributary to Little Richland Creek,UNCLASSIFIED,N,3960,8-20-13 MUDD V1.0,C,0, ,N,10300103,0103
-92.769716960589363,38.614418731861427,4,80902,Effective,Water Protection Program,GPCF,General CAFO IB,gencafoIB,MOGS10506,001,Y,Land Application Site,1,45495,Sunrise,31952 Bahner Quarry Rd, ,TIPTON,65081, ,5732302283,Moniteau,NER,0,0,520049,4274014,2015-09-03T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,Y,3095,Chicken Eggs,0, ,2015-09-03T00:00:00.000Z,2015-09-15T00:00:00.000Z,2015-09-15T00:00:00.000Z,2018-01-27T00:00:00.000Z,Wayne Lee Hentges,32799 Richland Creek Rd, ,TIPTON,MO,65081, , ,Class IB, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,365,N,0,N,0,N,0,Y,,Land Application,MNR,Manure, ,0,0,Wayne Lee Hentges,31952 Bahner Quarry Rd, ,Tipton,MO,65081, ,USA, ,NE,SE,34,45,N,17,W, ,Tributary to Short Fork,UNCLASSIFIED,N,3960,8-20-13 MUDD V1.0,C,0, ,N,10300102,1102
-94.32281271592106,36.815364734816939,5,80509,Effective,Water Protection Program,SITE,Site-Specific CAFO (IA),sscafoIA,MO0122840,SM2,N,Receiving Water Monitoring,12,10930,Opal Foods Neosho Farms,17331 Hwy D, ,NEOSHO,64850, ,4174555000,Newton,SWR,0,0,382015,4075206,2011-03-16T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,N,3095,Chicken Eggs,0, ,2011-03-16T00:00:00.000Z,2005-11-01T00:00:00.000Z,2011-05-20T00:00:00.000Z,2016-05-19T00:00:00.000Z,"Opal Foods, LLC",1100 Blair Ave, ,Neosho,MO,64850, , ,Class IA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,Y,,N/A - Instream Monitoring,INSTR,N/A - Instream Monitoring, ,0,0,"Opal Foods, LLC",1100 Blair Avenue, ,Neosho,MO,64850, ,USA, ,SW,SW,7,24,N,31,W, ,Elm Spring Branch,C,N,3960,8-20-13 MUDD V1.0,C,0,11070207001173,N,11070207,0802
-94.359064049524875,36.768759014086527,6,80508,Effective,Water Protection Program,SITE,Site-Specific CAFO (IA),sscafoIA,MO0122840,SM1,N,Receiving Water Monitoring,12,10930,Opal Foods Neosho Farms,17331 Hwy D, ,NEOSHO,64850, ,4174555000,Newton,SWR,0,0,378708,4070081,2011-03-16T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,N,3095,Chicken Eggs,0, ,2011-03-16T00:00:00.000Z,2005-11-01T00:00:00.000Z,2011-05-20T00:00:00.000Z,2016-05-19T00:00:00.000Z,"Opal Foods, LLC",1100 Blair Ave, ,Neosho,MO,64850, , ,Class IA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,Y,,N/A - Instream Monitoring,INSTR,N/A - Instream Monitoring, ,0,0,"Opal Foods, LLC",1100 Blair Avenue, ,Neosho,MO,64850, ,USA, ,NW,NW,35,24,N,32,W, ,Bullskin Creek,P,N,3264,Bullskin Cr.,P,0,11070208000148,N,11070208,0305
-94.33970117206573,36.805450551294022,7,80507,Effective,Water Protection Program,SITE,Site-Specific CAFO (IA),sscafoIA,MO0122840,022,N,Storm Water Outfall,12,10930,Opal Foods Neosho Farms,17331 Hwy D, ,NEOSHO,64850, ,4174555000,Newton,SWR,0,0,380493.179,4074127.115,2011-03-17T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,N,3095,Chicken Eggs,0, ,2005-11-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,2011-05-20T00:00:00.000Z,2016-05-19T00:00:00.000Z,"Opal Foods, LLC",1100 Blair Ave, ,Neosho,MO,64850, , ,Class IA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,Y,,Land Application,SW,Storm Water, ,0,0,"Opal Foods, LLC",1100 Blair Avenue, ,Neosho,MO,64850, ,USA, ,NW,SW,13,24,N,32,W, ,Tributary to Elm Spring Branch,UNCLASSIFIED,N,3960,8-20-13 MUDD V1.0,C,0,11070207006030,N,11070207,0802
-94.348229174225182,36.796200550572692,8,80506,Effective,Water Protection Program,SITE,Site-Specific CAFO (IA),sscafoIA,MO0122840,020,N,Storm Water Outfall,12,10930,Opal Foods Neosho Farms,17331 Hwy D, ,NEOSHO,64850, ,4174555000,Newton,SWR,0,0,379717.935,4073111.629,2011-03-17T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,N,3095,Chicken Eggs,0, ,2005-11-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,2011-05-20T00:00:00.000Z,2016-05-19T00:00:00.000Z,"Opal Foods, LLC",1100 Blair Ave, ,Neosho,MO,64850, , ,Class IA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,Y,,Land Application,MNR,Manure, ,0,0,"Opal Foods, LLC",1100 Blair Avenue, ,Neosho,MO,64850, ,USA, ,SE,NE,23,24,N,32,W, ,Tributary to Bullskin Creek,UNCLASSIFIED,N,3960,8-20-13 MUDD V1.0,C,0,11070208007730,N,11070208,0305
-94.351090175359531,36.789867550910564,9,80505,Effective,Water Protection Program,SITE,Site-Specific CAFO (IA),sscafoIA,MO0122840,019,N,Storm Water Outfall,12,10930,Opal Foods Neosho Farms,17331 Hwy D, ,NEOSHO,64850, ,4174555000,Newton,SWR,0,0,379452.752,4072412.66,2011-03-17T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,N,3095,Chicken Eggs,0, ,2005-11-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,2011-05-20T00:00:00.000Z,2016-05-19T00:00:00.000Z,"Opal Foods, LLC",1100 Blair Ave, ,Neosho,MO,64850, , ,Class IA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,Y,,Land Application,SW,Storm Water, ,0,0,"Opal Foods, LLC",1100 Blair Avenue, ,Neosho,MO,64850, ,USA, ,SE,SW,23,24,N,32,W, ,Tributary to Bullskin Creek,C,N,3960,8-20-13 MUDD V1.0,C,0,11070208007744,N,11070208,0305
-94.338007172453985,36.793645553692322,10,80504,Effective,Water Protection Program,SITE,Site-Specific CAFO (IA),sscafoIA,MO0122840,018,N,Storm Water Outfall,12,10930,Opal Foods Neosho Farms,17331 Hwy D, ,NEOSHO,64850, ,4174555000,Newton,SWR,0,0,380625.976,4072815.375,2011-03-17T00:00:00.000Z,Interpolation from map,1:24000,13,0,0,NAD83,15,WPCB,Outfall Pipe,Verified Relative to Map Features,N,3095,Chicken Eggs,0, ,2005-11-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,2011-05-20T00:00:00.000Z,2016-05-19T00:00:00.000Z,"Opal Foods, LLC",1100 Blair Ave, ,Neosho,MO,64850, , ,Class IA, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,Y,0,N,0,N,0,N,0,Y,,Land Application,SW,Storm Water, ,0,0,"Opal Foods, LLC",1100 Blair Avenue, ,Neosho,MO,64850, ,USA, ,SE,NW,24,24,N,32,W, ,Tributary to Bullskin Creek,UNCLASSIFIED,N,3960,8-20-13 MUDD V1.0,C,0,11070208007729,N,11070208,0305
